Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2015.0,6.2,268041.0,75000.0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016.0,3.5,70263.0,89000.0
Rare,Dammam,Rare,Automatic,Gulf Arabic,Full,2017.0,1.4,74000.0,48000.0
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2017.0,1.6,97000.0,38500.0
Rare,Dammam,Jeep,Automatic,Saudi,Full,2018.0,3.0,70000.0,108000.0
Rare,Riyadh,Kia,Automatic,Saudi,Semi Full,2021.0,3.5,32031.0,111500.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Full,2017.0,5.0,106000.0,90000.0
Rare,Aseer,Rare,Automatic,Saudi,Full,2011.0,5.4,200000.0,60000.0
C,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2018.0,2.0,57000.0,175000.0
Accord,Riyadh,Honda,Automatic,Saudi,Full,2017.0,2.4,139806.0,71500.0
Rare,Al-Medina,Mercedes,Automatic,Saudi,Full,2015.0,3.5,119000.0,99000.0
Sierra,Dammam,GMC,Automatic,Saudi,Standard,2012.0,5.3,329000.0,40000.0
Sunny,Riyadh,Nissan,Automatic,Gulf Arabic,Standard,2019.0,1.5,92300.0,29000.0
Expedition,Dammam,Ford,Automatic,Other,Full,2008.0,1.8,299000.0,22000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2015.0,3.5,181000.0,70000.0
Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2016.0,1.5,190000.0,26000.0
Rare,Jeddah,Kia,Automatic,Saudi,Standard,2019.0,1.6,61000.0,59000.0
Rare,Makkah,Mercedes,Automatic,Other,Full,2016.0,2.0,93000.0,117000.0
Furniture,Al-Medina,Toyota,Automatic,Saudi,Full,2008.0,4.0,288000.0,36000.0
Rare,Riyadh,Rare,Automatic,Gulf Arabic,Semi Full,2021.0,1.3,9000.0,46000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018.0,2.4,69000.0,55000.0
Rare,Dammam,Ford,Automatic,Saudi,Semi Full,2017.0,5.0,53000.0,140000.0
Rare,Riyadh,Rare,Automatic,Saudi,Full,2020.0,2.0,7855.0,65500.0
Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017.0,1.6,143021.0,30000.0
Taurus,Jeddah,Ford,Automatic,Saudi,Standard,2018.0,3.5,63000.0,80000.0
Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2019.0,1.5,112000.0,39500.0
Sunny,Al-Medina,Nissan,Automatic,Saudi,Standard,2019.0,1.5,66000.0,29000.0
Rare,Dammam,Lexus,Automatic,Other,Full,2016.0,3.5,96000.0,108000.0
Rare,Riyadh,Kia,Automatic,Saudi,Semi Full,2016.0,2.4,233124.0,51500.0
Rare,Dammam,Dodge,Automatic,Other,Full,2016.0,3.6,160000.0,89000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Full,2016.0,3.0,350000.0,41000.0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2014.0,5.4,16682.0,76500.0
Pajero,Qassim,Mitsubishi,Automatic,Gulf Arabic,Full,2017.0,3.2,80000.0,89500.0
Rare,Riyadh,Kia,Automatic,Saudi,Semi Full,2017.0,2.4,245000.0,45000.0
Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2016.0,1.6,55000.0,48000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018.0,1.6,27900.0,72000.0
Rare,Al-Ahsa,Hyundai,Automatic,Other,Full,2017.0,1.6,110750.0,60000.0
Pajero,Jubail,Mitsubishi,Automatic,Saudi,Semi Full,2011.0,6.0,140000.0,38000.0
Rare,Riyadh,Ford,Automatic,Saudi,Standard,2016.0,1.5,217000.0,25000.0
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018.0,1.5,105499.0,25000.0
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2019.0,4.0,113000.0,105000.0
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2016.0,1.6,172600.0,35000.0
Furniture,Makkah,Toyota,Automatic,Saudi,Full,2017.0,4.0,176000.0,55000.0
Sierra,Dammam,GMC,Automatic,Saudi,Standard,2018.0,5.3,95000.0,93000.0
Sonata,Tabouk,Hyundai,Automatic,Gulf Arabic,Full,2018.0,2.0,79000.0,36000.0
Rare,Riyadh,Chevrolet,Automatic,Gulf Arabic,Standard,2016.0,5.2,96000.0,126000.0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013.0,5.4,270000.0,49500.0
Rare,Al-Ahsa,Nissan,Automatic,Gulf Arabic,Standard,2018.0,1.6,97000.0,39000.0
Rare,Riyadh,Mazda,Automatic,Saudi,Semi Full,2016.0,3.0,230000.0,50000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2020.0,1.6,94182.0,44000.0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2017.0,1.6,98696.0,45000.0
Rare,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,2015.0,2.5,118000.0,43000.0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2019.0,2.0,49000.0,82000.0
Rare,Dammam,Toyota,Automatic,Other,Semi Full,2015.0,3.5,80000.0,86000.0
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016.0,3.5,201074.0,55000.0
Rare,Jeddah,Chevrolet,Automatic,Other,Full,2016.0,1.6,136000.0,25000.0
Rare,Jeddah,Toyota,Automatic,Saudi,Semi Full,2016.0,3.5,86000.0,87000.0
Rare,Riyadh,Rare,Automatic,Saudi,Standard,2016.0,1.6,105000.0,23000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016.0,2.0,157000.0,50000.0
Rare,Riyadh,Ford,Automatic,Other,Full,2019.0,2.3,52000.0,139000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2016.0,1.8,67000.0,22000.0
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017.0,3.5,153889.0,68000.0
Elantra,Jeddah,Hyundai,Automatic,Other,Full,2016.0,1.6,74000.0,50000.0
Rare,Dammam,Ford,Manual,Saudi,Semi Full,2015.0,2.0,219000.0,45000.0
Rare,Riyadh,Kia,Automatic,Saudi,Full,2017.0,2.4,125000.0,65000.0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019.0,1.6,103358.0,48500.0
Caprice,Dammam,Chevrolet,Automatic,Other,Semi Full,2013.0,6.2,193000.0,44000.0
Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2019.0,2.7,80000.0,120000.0
Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2012.0,2.7,127000.0,65000.0
Rare,Jeddah,BMW,Automatic,Saudi,Full,2009.0,3.0,180000.0,35000.0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2009.0,5.4,318500.0,24500.0
Accord,Jeddah,Honda,Automatic,Saudi,Full,2017.0,3.5,25400.0,90000.0
Rare,Riyadh,Rare,Automatic,Saudi,Full,2013.0,3.0,48000.0,103000.0
Rare,Jeddah,Mazda,Automatic,Saudi,Full,2020.0,2.5,30877.0,135000.0
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2011.0,5.3,231000.0,45000.0
Rare,Qassim,Toyota,Automatic,Gulf Arabic,Full,2017.0,4.0,114000.0,115000.0
Rare,Riyadh,GMC,Automatic,Gulf Arabic,Full,2012.0,3.6,220000.0,40000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2015.0,2.0,74000.0,69500.0
6,Dammam,Mazda,Automatic,Saudi,Standard,2017.0,2.5,175000.0,50000.0
Rare,Jeddah,Kia,Automatic,Saudi,Full,2014.0,3.5,81000.0,78000.0
